iso3,pays,score_LAN,score_GEO,score_RES,score_VUL,score_HIST,score_MON,score_REP,score_NOR,score_SP,score_POIDS,score_MOB,score_ECO,total,pib_mds_usd,annee_pib,part_pib_mondial_pct,idh,annee_idh,rente_ressources_mds_usd,ndgain_vulnerabilite,henley_destinations,softpower_rang,co2_cumule_t_par_hab
PAK,Pakistan,2,2,1,0,0,1,1,1,0,1,0,0,9,371.7,2024,0.33,0.544,2023,5.3,0.515,31,84,23
FJI,Fidji,3,2,0,1,0,1,0,1,0,0,1,0,9,6.0,2024,0.01,0.731,2023,0.1,0.453,87,133,58
NGA,Nigeria,2,2,2,1,0,0,1,0,0,1,0,0,9,252.3,2024,0.23,0.56,2023,21.6,0.481,44,71,20
AND,Andorre,0,1,0,3,1,0,0,1,0,0,2,1,9,4.0,2024,0.0,0.913,2023,0.0,,169,135,203
BLR,Biélorussie,1,1,0,3,0,0,0,1,0,0,1,2,9,78.6,2024,0.07,0.824,2023,1.5,0.323,77,81,568
BWA,Botswana,2,0,0,1,1,2,0,1,0,0,1,1,9,19.3,2024,0.02,0.731,2023,0.2,0.432,81,147,73
DMA,Dominique,3,2,0,1,0,0,0,0,0,0,2,1,9,0.7,2024,0.0,0.761,2023,0.0,0.439,145,136,83
SLV,Salvador,2,2,0,1,1,0,0,1,0,0,2,0,9,34.9,2024,0.03,0.678,2023,0.2,0.425,131,76,42
GEO,Géorgie,0,2,0,2,0,1,0,1,0,0,2,1,9,34.2,2024,0.03,0.844,2023,0.5,0.394,120,61,174
MNE,Monténégro,0,2,0,2,1,0,0,1,0,0,2,1,9,8.3,2024,0.01,0.862,2023,0.1,0.363,126,111,196
NIC,Nicaragua,2,2,0,1,1,1,0,0,0,0,2,0,9,19.7,2024,0.02,0.706,2023,0.8,0.446,125,153,29
MKD,Macédoine du Nord,0,0,0,2,1,1,0,1,0,0,2,2,9,17.0,2024,0.02,0.815,2023,0.0,0.372,126,130,295
PLW,Palaos,2,2,0,0,0,0,0,0,0,0,2,3,9,0.3,2024,0.0,0.786,2023,0.0,0.513,120,184,644
KNA,Saint-Kitts-et-Nevis,3,2,0,1,0,0,0,0,0,0,2,1,9,1.1,2024,0.0,0.84,2023,0.0,,157,189,172
VCT,Saint-Vincent,3,2,0,1,0,0,0,0,0,0,2,1,9,1.2,2024,0.0,0.798,2023,0.0,0.431,157,186,79
SRB,Serbie,0,1,0,1,1,1,0,1,0,0,2,2,9,90.1,2024,0.08,0.833,2023,1.6,0.422,135,72,444
MNG,Mongolie,0,0,1,2,1,1,0,1,0,0,1,1,8,23.8,2024,0.02,0.747,2023,7.9,0.365,64,105,244
PNG,Papouasie-N.-Guinée,3,2,1,0,0,1,0,0,0,0,1,0,8,30.8,2024,0.03,0.576,2023,8.4,0.55,84,156,20
JOR,Jordanie,2,1,0,2,0,1,0,1,0,0,0,1,8,58.6,2024,0.05,0.754,2023,0.0,0.366,49,62,69
KEN,Kenya,2,2,0,0,0,1,1,1,0,0,1,0,8,120.4,2024,0.11,0.628,2023,1.5,0.5,69,88,10
GHA,Ghana,2,2,1,1,0,0,0,1,0,0,1,0,8,83.3,2024,0.07,0.628,2023,11.1,0.448,67,95,12
BOL,Bolivie,2,0,1,1,1,1,0,1,0,0,1,0,8,54.9,2024,0.05,0.733,2023,5.2,0.451,77,103,52
GNQ,Guinée équatoriale,2,2,1,2,0,0,0,0,0,0,0,1,8,13.3,2024,0.01,0.674,2023,3.1,0.41,52,149,86
LBN,Liban,2,2,0,2,0,0,0,0,0,0,0,1,7,26.0,2024,0.02,0.752,2023,0.0,0.399,43,89,137
TZA,Tanzanie,1,2,1,0,0,1,0,1,0,0,1,0,7,79.2,2024,0.07,0.555,2023,5.3,0.516,68,94,5
CUB,Cuba,2,2,0,1,1,0,0,0,0,0,0,1,7,107.4,2020,0.1,0.762,2023,0.6,0.441,56,83,165
BLZ,Belize,3,2,0,1,0,0,0,0,0,0,1,0,7,3.2,2024,0.0,0.721,2023,0.0,0.467,100,168,54
CPV,Cap-Vert,2,2,0,1,0,0,0,1,0,0,1,0,7,2.7,2024,0.0,0.668,2023,0.5,0.42,63,157,32
GAB,Gabon,2,2,1,1,0,0,0,0,0,0,0,1,7,20.9,2024,0.02,0.733,2023,3.9,0.436,55,169,121
KGZ,Kirghizistan,1,0,0,3,0,1,0,1,0,0,0,1,7,18.2,2024,0.02,0.72,2023,2.1,0.311,59,142,122
MHL,Îles Marshall,2,2,0,0,0,0,0,0,0,0,2,1,7,0.3,2024,0.0,0.733,2023,0.0,0.59,127,181,107
MDA,Moldavie,0,0,0,2,0,1,0,1,0,0,1,2,7,18.2,2024,0.02,0.785,2023,0.0,0.394,119,128,565
NAM,Namibie,2,2,0,1,0,0,0,1,0,0,1,0,7,13.6,2024,0.01,0.665,2023,0.5,0.454,74,124,29
NRU,Nauru,2,2,0,0,0,0,0,0,0,0,1,2,7,0.2,2024,0.0,0.703,2023,0.0,0.509,86,192,425
SUR,Suriname,1,2,0,2,0,0,0,0,0,0,1,1,7,4.4,2024,0.0,0.722,2023,0.4,0.404,75,182,203
TON,Tonga,2,2,0,0,1,0,0,0,0,0,2,0,7,0.6,2024,0.0,0.769,2023,0.0,0.607,127,187,47
UZB,Ouzbékistan,0,0,2,2,0,1,0,1,0,0,0,1,7,121.4,2024,0.11,0.74,2023,24.8,0.359,59,92,186
